DYNAMIXEL Graph,3
ItemCount,3
-1,311,MX-64(2.0),Realtime Tick,#000000,0
-1,311,MX-64(2.0),Present Position,#ffff00,0
-1,311,MX-64(2.0),Present Velocity,#ff0000,0
Time[ms],Realtime Tick,Present Position,Present Velocity
6209,21138,565,-207
6229,21158,500,-154
6249,21178,448,-179
6269,21198,427,-152
6289,21218,421,-85
6309,21238,420,-38
6329,21258,420,-13
6349,21278,420,-3
6369,21298,420,-1
6389,21318,419,0
6409,21338,420,0
6429,21358,422,1
6449,21378,426,7
6469,21398,427,8
6489,21418,427,4
6509,21438,431,2
6529,21458,498,49
6549,21478,585,168
6569,21498,676,247
6589,21518,759,274
6609,21538,807,247
6629,21558,875,200
6649,21578,922,195
6669,21598,939,146
6689,21618,946,78
6709,21638,949,35
6729,21658,965,26
6749,21678,974,37
6769,21698,978,30
6789,21718,978,15
6809,21738,978,5
6829,21758,978,1
6849,21778,978,0
6869,21798,978,0
6889,21818,978,0
6909,21838,976,0
6929,21858,947,-23
6949,21878,926,-63
6969,21898,917,-59
6989,21918,915,-34
7009,21938,906,-15
7029,21958,831,-70
7049,21978,743,-188
7069,21998,651,-255
7089,22018,560,-281
7109,22038,470,-288
7129,22058,390,-283
7149,22078,346,-243
7169,22098,332,-154
7189,22118,328,-73
7209,22138,328,-29
7229,22158,328,-9
7249,22178,328,-2
7269,22198,328,0
7289,22218,329,0
7309,22238,328,0
7329,22258,328,0
7349,22278,328,0
7369,22298,328,0
7389,22318,328,0
7409,22338,328,0
7429,22358,328,0
7449,22378,328,0
7469,22398,328,0
7489,22418,328,0
7509,22438,328,0
7529,22458,328,0
7549,22478,328,0
7569,22498,328,0
7589,22518,328,0
7609,22538,332,0
7629,22558,379,39
7649,22578,410,101
7669,22598,423,90
7689,22618,427,52
7709,22638,428,22
7729,22658,491,49
7749,22678,577,162
7769,22698,646,232
7789,22718,674,199
7809,22738,685,114
7829,22758,740,90
7849,22778,781,134
7869,22798,797,118
7889,22818,802,67
7909,22838,806,30
7929,22858,830,31
7949,22878,845,54
7969,22898,851,45
7989,22918,852,24
8009,22938,855,10
8029,22958,886,29
8049,22978,908,69
8069,22998,916,61
8089,23018,918,34
8109,23038,919,14
8129,23058,926,11
8149,23078,932,17
8168,23097,934,15
8188,23117,933,8
8208,23137,934,2
8228,23157,934,0
8248,23177,934,0
8268,23197,934,0
8289,23218,934,0
8309,23238,930,0
8329,23258,857,-55
8349,23278,790,-168
8369,23298,760,-178
8389,23318,751,-111
8409,23338,743,-52
8429,23358,674,-75
8449,23378,625,-156
8469,23398,604,-143
8489,23418,597,-82
8509,23438,595,-37
8529,23458,584,-23
8549,23478,578,-26
8569,23498,576,-20
8589,23518,576,-9
8609,23538,576,-2
8629,23558,639,41
8648,23577,695,137
8669,23598,719,149
8689,23618,727,91
8709,23638,736,42
8729,23658,804,75
8749,23678,852,155
8769,23698,872,139
8789,23718,878,79
8809,23738,882,36
8829,23758,898,28
8849,23778,909,40
8869,23798,913,32
8888,23817,913,17
8909,23838,913,5
8929,23858,913,1
8949,23878,913,0
8969,23898,913,0
8989,23918,913,0
9009,23938,912,0
9029,23958,845,-48
9049,23978,792,-146
9069,23998,771,-144
9088,24017,764,-87
9108,24037,759,-40
9128,24057,728,-41
9148,24077,707,-71
9169,24098,698,-61
9189,24118,696,-33
9208,24137,697,-14
9228,24157,697,-4
9249,24178,697,-1
9269,24198,697,0
9289,24218,697,0
9308,24237,696,0
9329,24258,689,-5
9348,24277,684,-14
9368,24297,683,-13
9389,24318,683,-6
9409,24338,688,-1
9428,24357,757,51
9449,24378,820,163
9468,24397,846,167
9489,24418,855,99
9508,24437,859,47
9528,24457,921,62
9548,24477,968,138
9568,24497,986,133
9588,24517,993,78
9608,24537,996,35
9628,24557,1017,30
9648,24577,1031,49
9668,24597,1036,41
9688,24617,1037,22
9708,24637,1038,8
9728,24657,1037,2
9748,24677,1037,0
9768,24697,1037,0
9788,24717,1037,0
9808,24737,1033,0
9828,24757,960,-54
9848,24777,896,-164
9868,24797,867,-173
9888,24817,860,-107
9908,24837,851,-49
9928,24857,779,-74
9948,24877,717,-169
9968,24897,689,-172
9988,24917,681,-105
10008,24937,679,-48
10028,24957,674,-22
10048,24977,669,-17
10068,24997,668,-12
10088,25017,668,-6
10108,25037,668,-1
10128,25057,668,0
10148,25077,668,0
10168,25097,668,0
10188,25117,668,0
10208,25137,668,0
10228,25157,689,12
10248,25177,706,45
10268,25197,713,46
10288,25217,714,27
10308,25237,722,11
10328,25257,793,59
10348,25277,880,177
10368,25297,957,245
10388,25317,993,222
10408,25337,1004,137
10428,25357,1015,68
10448,25377,1021,41
10468,25397,1023,24
10488,25417,1023,10
10508,25437,1023,3
10528,25457,1023,0
10548,25477,1023,0
10568,25497,1023,0
10588,25517,1023,0
10608,25537,1023,0
10628,25557,1023,0
10648,25577,1023,0
10668,25597,1023,0
10688,25617,1023,0
10708,25637,1018,0
10728,25657,945,-54
10748,25677,857,-177
10768,25697,770,-250
10788,25717,719,-249
10808,25737,700,-174
10828,25757,678,-100
10848,25777,664,-72
10868,25797,659,-49
10888,25817,658,-25
10908,25837,657,-9
10928,25857,644,-13
10948,25877,637,-26
10968,25897,634,-22
10988,25917,634,-11
11008,25937,634,-3
11028,25957,634,-1
11048,25977,634,0
11068,25997,634,0
11088,26017,634,0
11108,26037,637,0
11128,26057,707,51
11149,26078,761,153
11168,26097,782,147
11188,26117,788,87
11208,26137,793,39
11228,26157,823,40
11248,26177,843,69
11268,26197,850,59
11288,26217,852,32
11308,26237,853,12
11328,26257,867,14
11348,26277,880,33
11368,26297,885,33
11388,26317,885,19
11408,26337,885,7
11428,26357,885,2
11448,26377,885,0
11468,26397,885,0
11488,26417,885,0
11508,26437,885,0
11528,26457,885,0
11548,26477,885,0
11568,26497,885,0
11588,26517,885,0
11608,26537,885,0
11628,26557,831,-32
11648,26577,779,-123
11668,26597,758,-136
11688,26617,750,-84
11708,26637,740,-40
11728,26657,666,-74
11748,26677,578,-187
